id,St_Racuna,Sifra_Kupca,Datum_Storitve,Knjizenje,Znesek,Znese_z_DDV,Fakturiral,Izvajalec
57,30,10.299,5. 1. 2015,0,"9,00","10,98",037,072
58,433,10.299,13. 1. 2015,0,"-9,00","-10,98",037,072
59,434,10.299,5. 1. 2015,0,"9,00","10,98",037,072
60,39.198,10.300,12. 12. 2014,1,"20,00","24,40",107,028
61,29.912,10.303,7. 10. 2014,0,"23,00","28,06",037,001
62,275,10.307,8. 1. 2015,0,"23,00","28,06",037,009
63,1.176,10.311,8. 1. 2015,1,"23,00","28,06",063,009
64,276,10.316,8. 1. 2015,0,"23,00","28,06",037,009
65,37.792,10.318,3. 12. 2014,2,"23,00","28,06",063,007
66,35.631,10.327,20. 11. 2014,0,"23,00","28,06",014,042
67,32.472,10.329,20. 10. 2014,0,"6,30","7,69",037,075
68,36.720,10.332,27. 11. 2014,0,"23,00","28,06",063,042
69,36.935,10.337,28. 11. 2014,1,"37,00","45,14",107,072
70,34.328,10.338,11. 11. 2014,1,"23,00","28,06",063,027
71,38.657,10.341,21. 11. 2014,0,"6,30","7,69",037,042
72,35.988,10.342,21. 11. 2014,1,"23,00","28,06",063,042
73,38.892,10.346,4. 12. 2014,0,"6,30","7,69",037,001
74,40.699,10.346,23. 12. 2014,0,"23,00","28,06",037,001
75,40.832,10.346,29. 12. 2014,0,"-6,30","-7,69",037,001
76,38.052,10.349,4. 12. 2014,1,"23,00","28,06",063,001
77,36.735,10.352,27. 11. 2014,0,"36,00","43,92",063,075
78,38.054,10.372,4. 12. 2014,1,"23,00","28,06",063,001
79,29.904,10.374,7. 10. 2014,0,"8,00","9,76",037,038
80,40.038,10.374,18. 12. 2014,0,"25,20","30,74",037,064
81,31.733,10.376,23. 10. 2014,1,"23,00","28,06",063,064
82,36.943,10.378,28. 11. 2014,0,"23,00","28,06",037,042
83,35.405,10.379,19. 11. 2014,1,"37,00","45,14",063,008
84,38.049,10.381,4. 12. 2014,1,"23,00","28,06",063,001
85,1.073,10.385,16. 1. 2015,0,"23,00","28,06",037,009
86,36.280,10.387,24. 11. 2014,0,"23,00","28,06",014,042
87,36.332,10.400,25. 11. 2014,1,"10,00","12,20",063,026
88,36.234,10.407,25. 11. 2014,0,"23,00","28,06",014,009
89,38.051,10.416,4. 12. 2014,2,"23,00","28,06",063,001
90,35.596,10.418,18. 11. 2014,0,"23,00","28,06",014,018
91,34.019,10.432,7. 11. 2014,2,"23,00","28,06",063,005
92,1.853,10.438,15. 1. 2015,1,"15,00","18,30",063,015
93,30.684,10.445,16. 10. 2014,0,"23,00","28,06",037,072
94,1.495,10.455,7. 1. 2015,0,"6,30","7,69",037,005
95,34.466,10.457,14. 11. 2014,0,"37,00","45,14",014,013
96,33.676,10.458,4. 11. 2014,1,"75,30","91,87",063,015
97,1.175,10.465,8. 1. 2015,1,"23,00","28,06",063,009
98,39.959,10.469,18. 12. 2014,1,"53,00","64,66",063,022
99,1.773,10.470,20. 1. 2015,0,"23,00","28,06",037,042
100,37.489,10.475,2. 12. 2014,0,"23,00","28,06",037,042
101,37.824,10.483,4. 12. 2014,0,"23,00","28,06",037,001
102,35.400,10.491,17. 11. 2014,1,"23,00","28,06",063,001
103,32.844,10.495,27. 10. 2014,1,"37,00","45,14",063,007
104,36.657,10.508,26. 11. 2014,1,"10,00","12,20",063,015
105,36.548,10.513,26. 11. 2014,1,"20,00","24,40",107,026
106,37.830,10.524,4. 12. 2014,0,"23,00","28,06",037,001
107,34.007,10.532,7. 11. 2014,1,"23,00","28,06",063,007
108,36.269,10.548,21. 11. 2014,0,"23,00","28,06",014,007
109,36.074,10.551,24. 11. 2014,0,"58,00","70,76",014,033
110,591,10.566,12. 1. 2015,0,"23,00","28,06",037,005
111,825,10.567,15. 1. 2015,0,"23,00","28,06",037,005
112,686,10.568,14. 1. 2015,0,"23,00","28,06",037,005
113,37.205,10.586,1. 12. 2014,0,"23,00","28,06",037,013
114,36.188,10.592,24. 11. 2014,1,"37,00","45,14",107,008
115,36.566,10.593,26. 11. 2014,2,"23,00","28,06",107,027
116,29.999,10.601,6. 10. 2014,1,"23,00","28,06",063,076
117,1.710,10.604,20. 1. 2015,0,"23,00","28,06",037,001
118,34.600,10.605,13. 11. 2014,1,"23,00","28,06",063,072
119,33.805,10.608,5. 11. 2014,2,"23,00","28,06",107,009
120,32.974,10.610,5. 11. 2014,0,"26,00","31,72",037,026
121,34.572,64.183,10. 11. 2014,1,"23,00","28,06",063,064
122,34.428,10.615,5. 11. 2014,0,"6,30","7,69",037,009
123,30.688,10.618,14. 10. 2014,1,"23,00","28,06",063,001
124,31.276,10.638,20. 10. 2014,1,"23,00","28,06",063,075
125,31.540,10.638,16. 10. 2014,1,"46,00","56,12",063,075
126,33.130,10.639,3. 11. 2014,1,"23,00","28,06",063,028
127,39.445,10.659,15. 12. 2014,1,"20,00","24,40",107,015
128,35.586,10.665,19. 11. 2014,0,"23,00","28,06",014,009
129,36.744,10.671,26. 11. 2014,0,"23,00","28,06",063,038
130,34.116,10.678,11. 11. 2014,0,"23,00","28,06",037,022
131,32.352,10.701,30. 10. 2014,0,"23,00","28,06",037,072
132,36.068,10.702,19. 11. 2014,1,"32,00","39,04",107,072
133,293,10.711,8. 1. 2015,0,"23,00","28,06",037,072
134,40.444,10.718,22. 12. 2014,0,"23,00","28,06",037,027
135,33.298,10.770,7. 11. 2014,0,"23,00","28,06",037,072
136,30.890,10.784,6. 10. 2014,0,"6,30","7,69",037,076
137,32.095,10.793,28. 10. 2014,0,"23,00","28,06",014,005
138,30.640,10.798,15. 10. 2014,0,"23,00","28,06",037,001
139,35.573,10.802,20. 11. 2014,0,"37,00","45,14",014,072
140,35.574,10.803,20. 11. 2014,0,"37,00","45,14",014,072
141,32.182,10.819,30. 10. 2014,0,"23,00","28,06",037,001
142,1.277,10.829,16. 1. 2015,0,"6,30","7,69",037,027
143,35.728,10.830,19. 11. 2014,1,"23,00","28,06",063,007
144,37.526,10.836,1. 12. 2014,1,"37,00","45,14",063,008
145,80,10.842,5. 1. 2015,0,"23,00","28,06",037,075
146,35.369,10.852,19. 11. 2014,0,"23,00","28,06",014,005
147,33.072,10.857,27. 10. 2014,1,"23,00","28,06",107,028
148,1.276,10.882,16. 1. 2015,0,"6,30","7,69",037,027
149,36.355,10.889,25. 11. 2014,0,"23,00","28,06",014,026
150,36.294,10.890,24. 11. 2014,0,"23,00","28,06",014,026
151,31.102,10.898,15. 10. 2014,1,"23,00","28,06",063,076
152,31.614,10.900,15. 10. 2014,0,"6,30","7,69",037,076
153,36.285,10.915,24. 11. 2014,0,"23,00","28,06",014,028
154,36.308,10.916,24. 11. 2014,0,"58,00","70,76",014,017
155,30.535,10.928,11. 10. 2014,1,"9,00","10,98",063,011
156,30.539,10.928,11. 10. 2014,1,"37,00","45,14",063,011
157,36.591,64.259,25. 11. 2014,1,"16,00","19,52",107,022
158,32.699,10.939,3. 11. 2014,0,"23,00","28,06",037,009
159,32.039,10.965,21. 10. 2014,1,"23,00","28,06",063,008
160,38.330,10.970,8. 12. 2014,0,"26,00","31,72",037,024
161,38.208,10.975,4. 12. 2014,1,"10,00","12,20",063,011
162,1.035,10.978,6. 1. 2015,1,"23,00","28,06",063,064
163,41.054,10.986,23. 12. 2014,0,"6,30","7,69",037,005
164,33.403,10.991,3. 11. 2014,1,"23,00","28,06",063,007
165,34.562,10.994,12. 11. 2014,1,"23,00","28,06",107,028
166,36.575,11.006,20. 11. 2014,1,"16,00","19,52",107,022
167,29.772,11.037,7. 10. 2014,0,"379,65","463,17",037,021
168,30.842,11.037,14. 10. 2014,0,"35,60","43,43",037,005
169,36.928,11.037,27. 11. 2014,0,"89,50","109,19",037,038
170,40.873,11.037,10. 12. 2014,0,"35,60","43,43",037,005
171,33.586,11.039,10. 11. 2014,0,"6,30","7,69",037,027
172,1.190,11.050,9. 1. 2015,1,"23,00","28,06",063,001
173,32.527,11.065,24. 10. 2014,0,"6,30","7,69",037,022
174,40.346,11.066,19. 12. 2014,0,"23,00","28,06",037,076
175,40.349,11.066,19. 12. 2014,0,"23,00","28,06",037,076
176,40.911,11.072,30. 12. 2014,0,"6,30","7,69",037,031
177,33.671,11.078,11. 11. 2014,0,"6,30","7,69",037,027
178,29.963,11.079,6. 10. 2014,1,"14,00","17,08",063,015
179,1.173,11.082,16. 1. 2015,0,"37,80","46,12",037,072
180,38.174,11.087,4. 12. 2014,1,"9,00","10,98",063,008
181,1.819,11.096,21. 1. 2015,0,"23,00","28,06",037,021
182,34.980,11.097,17. 11. 2014,0,"23,00","28,06",014,027
183,538,11.142,12. 1. 2015,0,"58,00","70,76",037,017
184,32.221,11.150,30. 10. 2014,0,"26,00","31,72",037,018
185,39.325,11.161,15. 12. 2014,1,"10,00","12,20",107,031
186,30.761,11.177,14. 10. 2014,1,"23,00","28,06",063,072
187,41.058,11.188,22. 12. 2014,0,"6,30","7,69",037,005
188,1.368,11.189,8. 1. 2015,1,"10,00","12,20",063,015
189,38.309,11.205,8. 12. 2014,0,"6,30","7,69",037,018
190,36.143,11.212,24. 11. 2014,1,"23,00","28,06",107,027
191,36.632,11.225,24. 11. 2014,1,"10,00","12,20",063,015
192,40.694,11.228,24. 12. 2014,0,"23,00","28,06",037,001
193,30.998,11.232,16. 10. 2014,1,"9,00","10,98",063,028
194,35.956,11.233,21. 11. 2014,1,"39,00","47,58",063,076
195,40.747,11.238,24. 12. 2014,1,"23,00","28,06",107,001
196,32.244,11.239,22. 10. 2014,1,"39,00","47,58",063,027
197,38.078,11.247,4. 12. 2014,1,"23,00","28,06",063,021
198,32.346,11.248,27. 10. 2014,1,"23,00","28,06",063,072
199,584,11.252,5. 1. 2015,1,"20,00","24,40",063,007
200,1.321,11.253,9. 1. 2015,1,"10,00","12,20",063,008
201,36.399,11.254,25. 11. 2014,1,"39,00","47,58",063,007
202,37.749,11.263,3. 12. 2014,2,"23,00","28,06",063,005
203,36.178,11.270,24. 11. 2014,1,"39,00","47,58",107,076
204,1.614,11.285,17. 1. 2015,1,"9,00","10,98",063,008
205,37.720,11.295,3. 12. 2014,0,"23,00","28,06",037,001
206,32.334,11.297,9. 10. 2014,0,"6,30","7,69",037,072
207,41.280,11.297,19. 12. 2014,0,"6,30","7,69",037,008
208,32.771,11.303,3. 11. 2014,0,"23,00","28,06",037,028
209,30.246,11.306,9. 10. 2014,1,"23,00","28,06",063,075
210,32.514,11.320,27. 10. 2014,1,"37,00","45,14",063,042
211,40.925,11.322,30. 12. 2014,0,"23,00","28,06",037,075
212,36.811,11.326,25. 11. 2014,0,"39,00","47,58",037,021
213,34.890,11.330,14. 11. 2014,1,"26,00","31,72",107,042
214,36.934,11.338,28. 11. 2014,0,"23,00","28,06",037,028
215,34.574,11.341,12. 11. 2014,1,"23,00","28,06",107,027
216,31.149,11.347,15. 10. 2014,1,"20,00","24,40",063,064
217,39.261,11.353,12. 12. 2014,1,"37,00","45,14",107,008
218,38.718,11.354,9. 12. 2014,1,"23,00","28,06",063,021
219,32.814,11.355,29. 10. 2014,1,"23,00","28,06",063,042
220,39.220,11.356,12. 12. 2014,1,"25,00","30,50",107,001
221,32.851,11.374,28. 10. 2014,1,"23,00","28,06",063,007
222,40.386,11.375,19. 12. 2014,1,"10,00","12,20",107,021
223,1.816,11.379,21. 1. 2015,0,"23,00","28,06",037,007
224,35.929,11.418,21. 11. 2014,1,"23,00","28,06",063,075
225,35.928,11.419,21. 11. 2014,1,"23,00","28,06",063,075
226,37.142,11.427,29. 11. 2014,0,"23,00","28,06",037,076
227,35.012,11.433,7. 11. 2014,0,"6,30","7,69",014,075
228,235,11.435,8. 1. 2015,0,"23,00","28,06",037,027
229,35.863,11.439,20. 11. 2014,1,"37,00","45,14",063,072
230,36.638,11.442,27. 11. 2014,1,"23,00","28,06",063,075
231,1.215,11.443,16. 1. 2015,0,"23,00","28,06",037,007
232,29.896,11.445,8. 10. 2014,0,"54,00","65,88",037,017
233,36.950,11.459,25. 11. 2014,0,"23,00","28,06",037,018
234,39.396,11.468,9. 12. 2014,0,"6,30","7,69",037,064
235,1.136,11.471,8. 1. 2015,1,"20,00","24,40",063,026
236,39.893,11.480,18. 12. 2014,0,"26,00","31,72",037,007
237,37.783,11.481,3. 12. 2014,2,"23,00","28,06",063,009
238,29.628,11.488,4. 10. 2014,1,"53,00","64,66",063,042
239,29.599,11.547,6. 10. 2014,0,"37,00","45,14",037,001
240,37.833,11.549,3. 12. 2014,1,"23,00","28,06",063,072
241,632,11.555,5. 1. 2015,1,"23,00","28,06",063,009
242,38.338,11.556,8. 12. 2014,0,"23,00","28,06",037,024
243,38.339,11.556,8. 12. 2014,0,"23,00","28,06",037,024
244,1.182,11.576,8. 1. 2015,1,"23,00","28,06",063,009
245,36.854,11.599,27. 11. 2014,1,"20,00","24,40",063,064
246,34.727,11.613,13. 11. 2014,1,"53,00","64,66",063,008
247,37.711,11.625,27. 11. 2014,0,"6,30","7,69",037,075
248,840,11.625,8. 1. 2015,1,"37,00","45,14",063,028
249,31.355,11.627,16. 10. 2014,2,"23,00","28,06",063,007
250,35.360,11.642,17. 11. 2014,1,"37,00","45,14",063,008
251,34.076,11.643,7. 11. 2014,1,"16,00","19,52",063,064
252,34.696,11.644,7. 11. 2014,0,"6,30","7,69",014,064
253,41.167,11.663,31. 12. 2014,0,"6,30","7,69",037,064
254,35.208,11.665,17. 11. 2014,2,"23,00","28,06",063,075
255,34.246,11.669,4. 11. 2014,1,"26,00","31,72",107,021
256,38.791,11.675,11. 12. 2014,0,"23,00","28,06",037,005
257,29.932,11.677,8. 10. 2014,0,"23,00","28,06",037,064
258,31.649,11.687,24. 10. 2014,0,"23,00","28,06",035,075
259,30.470,11.688,13. 10. 2014,1,"37,00","45,14",063,008
260,32.846,11.689,27. 10. 2014,1,"16,00","19,52",063,007
261,39.630,62.854,16. 12. 2014,1,"10,00","12,20",063,011
262,1.323,11.702,9. 1. 2015,1,"23,00","28,06",063,008
263,33.698,11.708,10. 11. 2014,0,"23,00","28,06",037,007
264,30.196,11.709,9. 10. 2014,1,"20,00","24,40",063,001
265,41.308,11.739,31. 12. 2014,0,"23,00","28,06",037,072
266,40.799,11.767,23. 12. 2014,2,"23,00","28,06",107,024
267,30.824,11.776,13. 10. 2014,1,"19,60","23,91",063,011
268,62,11.787,6. 1. 2015,0,"23,00","28,06",037,001
269,34.057,11.789,6. 11. 2014,1,"37,00","45,14",063,031
270,31.503,11.791,18. 10. 2014,1,"32,00","39,04",063,064
271,37.868,11.796,4. 12. 2014,0,"23,00","28,06",037,005
272,141,11.800,7. 1. 2015,0,"6,30","7,69",037,075
273,40.424,11.802,22. 12. 2014,0,"23,00","28,06",037,013
274,40.428,11.803,22. 12. 2014,0,"23,00","28,06",037,021
275,33.571,11.828,30. 10. 2014,0,"6,30","7,69",037,027
276,33.165,11.829,30. 10. 2014,1,"23,00","28,06",063,027
277,32.330,11.843,27. 10. 2014,1,"23,00","28,06",063,027
278,33.417,11.848,4. 11. 2014,1,"23,00","28,06",063,005
279,34.044,11.850,7. 11. 2014,2,"23,00","28,06",063,027
280,524,11.872,5. 1. 2015,1,"23,00","28,06",063,021
281,30.635,11.878,15. 10. 2014,0,"23,00","28,06",037,021
282,30.632,11.886,15. 10. 2014,0,"23,00","28,06",037,028
283,35.031,11.899,11. 11. 2014,0,"6,30","7,69",014,024
284,37.920,11.901,4. 12. 2014,1,"9,00","10,98",063,005
285,37.464,11.907,1. 12. 2014,1,"23,00","28,06",063,021
286,34.767,11.910,11. 11. 2014,1,"20,00","24,40",107,008
287,36.154,11.924,24. 11. 2014,1,"23,00","28,06",107,028
288,40.993,11.930,23. 12. 2014,1,"8,00","9,76",063,008
289,34.371,11.932,29. 10. 2014,0,"6,30","7,69",037,022
290,31.441,11.939,15. 10. 2014,0,"6,30","7,69",037,001
291,40.859,11.939,18. 12. 2014,0,"6,30","7,69",037,001
292,33.222,11.941,5. 11. 2014,0,"23,00","28,06",037,009
293,30.910,11.947,16. 10. 2014,0,"23,00","28,06",037,001
294,39.329,11.959,15. 12. 2014,1,"23,00","28,06",107,001
295,605,11.966,5. 1. 2015,1,"23,00","28,06",063,005
296,39.961,11.987,18. 12. 2014,0,"23,00","28,06",037,005
297,34.816,11.990,10. 11. 2014,1,"10,00","12,20",107,031
298,31.694,12.007,27. 10. 2014,0,"23,00","28,06",014,001
299,338,12.012,7. 1. 2015,0,"6,30","7,69",037,013
300,491,12.029,13. 1. 2015,0,"23,00","28,06",037,042
301,33.325,12.033,6. 11. 2014,0,"23,00","28,06",037,031
302,31.650,12.042,24. 10. 2014,0,"23,00","28,06",035,075
303,32.337,12.053,10. 10. 2014,0,"6,30","7,69",037,072
304,34.323,12.053,5. 11. 2014,1,"23,00","28,06",107,072
305,32.794,12.072,29. 10. 2014,1,"10,00","12,20",063,008
306,34.053,12.076,13. 11. 2014,0,"-6,30","-7,56",037,013
307,34.055,12.076,13. 11. 2014,0,"-6,30","-7,69",037,013
308,34.058,12.076,13. 11. 2014,0,"-6,30","-7,69",037,013
309,32.194,12.079,30. 10. 2014,0,"23,00","28,06",037,024
310,32.201,12.080,30. 10. 2014,0,"6,30","7,69",037,024
311,39.086,12.086,11. 12. 2014,1,"23,00","28,06",107,008
312,32.193,12.089,30. 10. 2014,0,"23,00","28,06",037,024
313,33.779,12.092,5. 11. 2014,1,"23,00","28,06",107,024
314,34.711,12.097,10. 11. 2014,1,"23,00","28,06",107,024
315,34.714,12.102,11. 11. 2014,1,"23,00","28,06",107,024
316,39.653,12.107,17. 12. 2014,0,"23,00","28,06",037,075
317,32.627,12.108,30. 10. 2014,0,"23,00","28,06",037,007
318,32.199,12.115,30. 10. 2014,0,"23,00","28,06",037,024
319,32.202,12.116,30. 10. 2014,0,"23,00","28,06",037,024
320,34.709,12.127,10. 11. 2014,1,"23,00","28,06",107,024
321,32.198,12.135,30. 10. 2014,0,"23,00","28,06",037,024
322,37.835,12.155,3. 12. 2014,1,"23,00","28,06",063,072
323,30.442,62.664,8. 10. 2014,1,"23,00","28,06",063,075
324,439,12.167,13. 1. 2015,0,"23,00","28,06",037,072
325,37.256,12.177,18. 11. 2014,0,"6,30","7,69",037,018
326,34.325,12.185,5. 11. 2014,1,"23,00","28,06",107,072
327,29.940,12.188,8. 10. 2014,0,"23,00","28,06",037,076
328,38.431,12.194,26. 11. 2014,0,"6,30","7,69",037,021
329,32.897,12.223,28. 10. 2014,1,"23,00","28,06",063,028
330,545,12.224,6. 1. 2015,1,"23,00","28,06",063,028
331,393,12.245,12. 1. 2015,0,"23,00","28,06",037,028
332,36.496,12.250,25. 11. 2014,1,"23,00","28,06",063,027
333,330,12.254,8. 1. 2015,0,"6,30","7,69",037,013
334,33.223,12.255,5. 11. 2014,0,"23,00","28,06",037,009
335,30.651,12.269,15. 10. 2014,0,"46,00","56,12",037,008
336,39.437,12.271,8. 12. 2014,0,"6,30","7,69",037,005
337,32.102,616.739,29. 10. 2014,0,"23,00","28,06",014,024
338,1.533,64.504,15. 1. 2015,1,"20,00","24,40",063,026
339,41.077,12.308,31. 12. 2014,0,"-5,97","-7,28",037,007
340,41.078,12.308,31. 12. 2014,0,"-5,97","-7,28",037,007
341,41.079,12.309,31. 12. 2014,0,"5,97","7,28",037,007
342,41.080,12.309,31. 12. 2014,0,"5,97","7,28",037,007
343,33.783,12.396,6. 11. 2014,1,"23,00","28,06",107,024
344,30.772,12.819,16. 10. 2014,0,"23,00","28,06",037,028
345,32.387,13.044,24. 10. 2014,1,"23,00","28,06",063,064
346,36.564,13.120,26. 11. 2014,1,"23,00","28,06",107,027
347,35.798,13.224,17. 11. 2014,1,"23,00","28,06",063,022
348,33.767,13.357,12. 11. 2014,0,"4,98","6,08",037,067
349,36.613,13.501,26. 11. 2014,1,"20,00","24,40",107,064
350,37.908,13.540,3. 12. 2014,1,"55,00","67,10",063,008
351,33.685,13.645,11. 11. 2014,0,"23,00","28,06",037,075
352,37.453,13.646,2. 12. 2014,0,"23,00","28,06",037,027
353,1.647,13.647,16. 1. 2015,2,"23,00","28,06",063,009
354,37.855,13.707,4. 12. 2014,0,"23,00","28,06",037,013
355,29.499,13.811,6. 10. 2014,0,"-2,10","-2,56",037,067
356,40.809,13.839,29. 12. 2014,0,"2,10","2,56",037,067
357,40.808,13.853,29. 12. 2014,0,"-2,10","-2,56",037,067
358,33.662,13.901,11. 11. 2014,0,"23,00","28,06",037,024
359,32.809,13.914,4. 11. 2014,0,"23,00","28,06",037,027
360,32.797,13.960,4. 11. 2014,0,"23,00","28,06",037,031
361,35.152,13.988,17. 11. 2014,0,"23,00","28,06",014,042
362,30.051,13.995,3. 10. 2014,1,"25,00","30,50",063,076
363,32.168,64.074,24. 10. 2014,1,"25,00","30,50",063,008
364,36.320,14.007,24. 11. 2014,1,"10,00","12,20",063,026
365,31.387,14.022,21. 10. 2014,0,"23,00","28,06",037,018
366,33.171,14.029,30. 10. 2014,1,"23,00","28,06",063,072
367,38.813,14.067,11. 12. 2014,0,"23,00","28,06",037,013
368,41.069,14.074,1. 12. 2014,0,"6,30","7,69",037,007
369,29.822,14.087,7. 10. 2014,1,"16,00","19,52",063,015
370,38.666,14.128,9. 12. 2014,1,"37,00","45,14",063,027
371,30.375,14.129,14. 10. 2014,0,"23,00","28,06",037,072
372,31.867,14.131,22. 10. 2014,1,"76,00","92,72",063,072
373,31.426,14.137,22. 10. 2014,0,"23,00","28,06",037,075
374,34.797,14.145,11. 11. 2014,1,"32,00","39,04",063,011
375,32.945,14.154,28. 10. 2014,1,"23,00","28,06",063,076
376,29.431,14.164,3. 10. 2014,0,"58,00","70,76",037,033
377,32.395,14.166,25. 10. 2014,1,"47,00","57,34",063,064
378,37.036,14.229,29. 11. 2014,1,"20,00","24,40",107,076
379,33.149,14.240,28. 10. 2014,1,"39,00","47,58",063,022
380,37.538,14.246,2. 12. 2014,0,"26,00","31,72",037,013
381,32.962,14.257,5. 11. 2014,0,"23,00","28,06",037,072
382,36.176,14.306,24. 11. 2014,1,"23,00","28,06",107,031
383,1.485,14.322,12. 1. 2015,1,"37,00","45,14",063,015
384,37.267,14.368,1. 12. 2014,1,"23,00","28,06",063,028
385,41.189,14.399,30. 12. 2014,1,"20,00","24,40",063,008
386,30.333,14.409,8. 10. 2014,1,"23,00","28,06",063,008
387,39.995,14.413,18. 12. 2014,0,"26,00","31,72",037,026
388,30.041,14.427,3. 10. 2014,1,"37,00","45,14",063,008
389,39.999,14.429,17. 12. 2014,1,"37,00","45,14",063,001
390,37.954,64.295,4. 12. 2014,1,"20,00","24,40",107,026
391,34.429,14.468,7. 11. 2014,0,"6,30","7,69",037,009
392,30.365,14.576,9. 10. 2014,0,"7,20","8,78",037,021
393,1.242,14.576,16. 1. 2015,0,"23,00","28,06",037,021
394,38.626,14.579,10. 12. 2014,0,"11,60","14,15",037,007
395,37.130,14.581,28. 11. 2014,0,"26,00","31,72",037,011
396,39.343,14.582,15. 12. 2014,1,"20,00","24,40",107,007
397,31.198,14.587,21. 10. 2014,0,"23,00","28,06",037,008
398,36.852,14.598,28. 11. 2014,1,"20,00","24,40",107,007
399,1.433,14.622,19. 1. 2015,0,"23,00","28,06",037,001
400,35.214,14.824,17. 11. 2014,1,"23,00","28,06",063,005
401,32.175,64.075,27. 10. 2014,0,"30,80","37,58",037,076
402,35.005,14.867,12. 11. 2014,0,"6,30","7,69",014,031
403,31.920,14.868,17. 10. 2014,1,"37,00","45,14",063,022
404,39.777,14.874,16. 12. 2014,1,"37,00","45,14",107,026
405,36.434,14.876,26. 11. 2014,0,"23,00","28,06",014,021
406,30.797,14.879,16. 10. 2014,0,"23,00","28,06",037,075
407,1.770,14.880,20. 1. 2015,0,"23,00","28,06",037,005
408,1.482,14.883,6. 1. 2015,0,"6,30","7,69",037,001
409,30.151,14.887,11. 10. 2014,0,"23,00","28,06",037,076
