id,St_Racuna,Sifra_Kupca,Datum_Storitve,Knjizenje,Znesek,Fakturiral,Izvajalec
38,34042,605874,13.10.2014,0,6.68,037,005
39,33103,512823,3.11.2014,1,46.20,063,027
40,66,61671,5.1.2015,0,23.00,037,027
41,540,78733731,8.1.2015,0,110.85,037,017
42,39073,9000088,10.12.2014,0,78.00,037,017
43,40085,9001791,16.12.2014,0,70.00,037,017
44,34043,605874,13.10.2014,0,6.68,037,005
45,39516,513006,16.12.2014,0,46.20,037,027
46,665,61673,14.1.2015,0,23.00,037,013
47,34976,71039732,13.11.2014,0,110.85,014,017
48,39075,9000088,10.12.2014,0,78.00,037,017
49,36847,123,20.11.2014,0,73.10,037,009
50,40871,9003107,11.12.2014,0,70.00,037,017
51,34041,64163,13.10.2014,0,6.68,037,005
52,40107,77462807,15.12.2014,0,110.85,037,017
53,39077,9000088,10.12.2014,0,78.00,037,017
54,40730,574724,27.12.2014,1,73.00,107,008
55,37187,9004149,29.11.2014,0,70.00,037,017
56,31063,9000088,20.10.2014,0,110.00,037,067
57,29579,346,6.10.2014,0,103.00,037,066
58,39567,9000088,10.12.2014,0,78.00,037,017
59,34364,9000088,13.11.2014,0,714.85,037,038
60,39094,9004777,11.12.2014,0,70.00,037,017
61,29581,347,6.10.2014,0,141.20,037,066
62,38626,14579,10.12.2014,0,11.60,037,007
63,1115,9005467,13.1.2015,0,78.00,037,017
64,41029,62908499,1.12.2014,0,714.85,037,038
65,547,30552001,8.1.2015,0,70.00,037,017
66,34826,571284,13.11.2014,0,14.40,014,005
67,36412,18175,25.11.2014,0,11.60,014,007
68,29580,852,6.10.2014,0,103.00,037,066
69,39328,553630,15.12.2014,0,77.00,037,075
70,36797,9000088,26.11.2014,0,71.60,037,027
71,33903,46597000,5.11.2014,0,70.00,037,017
72,37438,1046,2.12.2014,0,37.00,037,021
73,824,556916,15.1.2015,0,14.35,037,005
74,38651,64317,10.12.2014,0,11.60,037,041
75,37193,42026482,17.11.2014,0,103.00,037,077
76,31867,14131,22.10.2014,1,76.00,063,072
77,36311,9001403,19.11.2014,0,71.60,014,017
78,38341,16364,8.12.2014,0,7.59,037,024
79,418,61378,12.1.2015,0,23.00,037,013
80,36880,500681,27.11.2014,0,11.60,037,009
81,1774,9585466,19.1.2015,0,102.60,037,011
82,30109,9000088,9.10.2014,0,76.00,037,005
83,37000,9003917,28.11.2014,0,71.60,037,072
84,31467,17628,22.10.2014,0,7.59,037,007
85,423,61378,12.1.2015,0,23.00,037,013
86,38353,502853,8.12.2014,1,11.60,107,075
87,30897,77833279,17.10.2014,0,102.60,037,026
88,30752,9004149,17.10.2014,0,76.00,037,005
89,401,24082562,12.1.2015,0,71.60,037,075
90,31466,514809,22.10.2014,0,7.59,037,007
91,40057,1313,17.12.2014,0,68.80,037,009
92,29595,504281,3.10.2014,0,11.60,037,005
93,33560,64130,29.10.2014,0,102.00,037,077
94,31719,58346635,25.10.2014,0,76.00,014,076
95,37779,61300,3.12.2014,0,71.60,037,017
96,30973,514818,17.10.2014,0,7.59,037,007
97,29765,9006880,7.10.2014,0,68.80,037,005
98,33075,1707,27.10.2014,1,23.00,107,028
99,40229,507087,19.12.2014,1,11.60,107,005
100,37572,64283,12.11.2014,0,102.00,037,077
101,29455,9000088,3.10.2014,0,75.80,037,066
102,30974,514819,17.10.2014,0,7.59,037,007
103,38294,23289066,8.12.2014,0,68.70,037,008
104,33074,1718,27.10.2014,1,20.00,107,028
105,32151,510920,23.10.2014,1,11.60,063,009
106,38852,64319,3.12.2014,0,102.00,037,033
107,30609,565753,10.10.2014,1,75.60,063,008
108,30972,514820,17.10.2014,0,7.59,037,007
109,32236,59711337,27.10.2014,0,68.60,037,076
110,31677,1727,27.10.2014,0,23.00,014,028
111,1447,61406,12.1.2015,1,11.60,063,005
112,1174,17982,16.1.2015,0,100.80,037,077
113,36814,2920,19.11.2014,0,96.10,037,067
114,31305,9000088,13.10.2014,0,75.60,037,077
115,38342,73347523,8.12.2014,0,7.59,037,024
116,36053,9000088,18.11.2014,0,68.00,014,067
117,34258,552071,6.11.2014,1,11.60,063,076
118,38876,9003650,10.12.2014,0,75.60,037,068
119,38343,94703329,8.12.2014,0,7.59,037,024
120,36233,9004149,20.11.2014,0,68.00,014,067
121,39458,553234,12.12.2014,1,11.60,107,005
122,39468,2920,19.11.2014,0,-96.10,037,067
123,39469,2920,19.11.2014,0,96.10,037,067
124,30932,47328304,14.10.2014,0,75.60,037,033
125,31465,63780,22.10.2014,0,7.59,037,007
126,30079,9006143,8.10.2014,0,68.00,037,005
127,30852,555500,11.10.2014,1,11.60,063,026
128,30321,57661561,10.10.2014,0,96.00,037,005
129,30933,47328304,14.10.2014,0,75.60,037,033
130,30224,63976,13.10.2014,0,7.48,037,038
131,30374,95483918,9.10.2014,0,663.10,037,066
132,39093,2936,8.12.2014,0,114.40,037,017
133,35432,556188,18.11.2014,1,11.60,063,005
134,37183,61753181,29.11.2014,0,96.00,037,017
135,791,77028694,15.1.2015,0,75.60,037,033
136,30365,14576,9.10.2014,0,7.20,037,021
137,37108,9002477,1.12.2014,0,660.30,037,066
138,1455,64501,12.1.2015,1,20.00,063,015
139,37847,9000088,4.12.2014,0,114.30,037,009
140,33044,556922,27.10.2014,1,11.60,107,005
141,34972,85738271,7.11.2014,0,96.00,014,017
142,30889,64018,13.10.2014,0,75.60,037,077
143,30366,596830,9.10.2014,0,7.20,037,021
144,37136,9003141,26.11.2014,0,66.30,037,011
145,35386,3730,17.11.2014,0,304.40,014,067
146,34815,9004149,14.11.2014,0,114.00,014,038
147,36204,557295,19.11.2014,1,11.60,063,024
148,29978,9000088,8.10.2014,0,95.60,037,005
149,30997,23375728,20.10.2014,0,75.60,037,005
150,30367,596832,9.10.2014,0,7.20,037,021
151,36621,565031,26.11.2014,1,66.00,107,008
152,34908,3982,13.11.2014,1,37.00,107,009
153,39571,26009838,15.12.2014,0,300.60,037,033
154,31647,563723,24.10.2014,0,112.90,035,075
155,29807,558161,7.10.2014,0,11.60,037,024
156,36042,9001975,19.11.2014,0,95.45,014,033
157,29591,4255,3.10.2014,0,84.00,037,068
158,171,23348887,7.1.2015,0,75.60,037,005
159,30368,596833,9.10.2014,0,7.20,037,021
160,35408,567662,19.11.2014,1,66.00,063,008
161,30059,9005467,8.10.2014,0,300.20,037,018
162,39620,9003251,16.12.2014,0,112.80,037,038
163,36877,559193,27.11.2014,0,11.60,037,009
164,33787,9006630,11.11.2014,0,95.45,037,033
165,266,53985648,9.1.2015,0,83.90,037,008
166,30369,596834,9.10.2014,0,7.20,037,021
167,1084,16131,14.1.2015,0,65.85,037,017
168,30140,4292,10.10.2014,0,363.80,037,067
169,32175,64075,27.10.2014,0,30.80,037,076
170,40449,14430126,22.12.2014,0,112.20,037,005
171,29951,559700,8.10.2014,0,11.60,037,067
172,33788,9006630,10.11.2014,0,95.45,037,033
173,57,9003107,6.1.2015,0,83.60,037,008
174,30370,596835,9.10.2014,0,7.20,037,021
175,39189,9005272,9.12.2014,0,65.85,037,017
176,34975,4467,12.11.2014,0,52.85,014,017
177,40074,64385,18.12.2014,0,36.80,037,024
178,31727,606029,23.10.2014,1,30.80,063,076
179,32230,18260659,28.10.2014,0,112.20,037,076
180,35752,64248,20.11.2014,1,11.60,063,005
181,33791,9006630,10.11.2014,0,95.45,037,033
182,1795,13348990,20.1.2015,0,83.60,037,011
183,30371,596836,9.10.2014,0,7.20,037,021
184,1114,9005467,13.1.2015,0,65.85,037,017
185,40114,9002673,15.12.2014,0,52.85,037,017
186,29764,511538,6.10.2014,0,36.60,037,021
187,1852,15434,15.1.2015,1,30.00,063,015
188,40960,4478,4.12.2014,0,126.50,037,017
189,358,72649879,12.1.2015,0,112.00,037,017
190,29370,562415,2.10.2014,0,11.60,037,024
191,33792,9006630,10.11.2014,0,95.45,037,033
192,32947,23489537,5.11.2014,0,83.60,037,028
193,30372,596837,9.10.2014,0,7.20,037,021
194,36229,9003107,11.11.2014,0,65.25,014,067
195,40089,9002881,16.12.2014,0,52.85,037,017
196,29859,555451,6.10.2014,1,30.00,063,038
197,1461,64502,12.1.2015,1,20.00,063,015
198,39088,98512426,4.12.2014,0,126.50,037,017
199,31679,563860,24.10.2014,0,11.60,014,005
200,727,41648293,14.1.2015,0,95.45,037,033
201,1728,68412886,19.1.2015,0,83.60,037,018
202,31240,49843249,21.10.2014,0,69.80,037,021
203,35566,575952,14.11.2014,1,65.00,107,008
204,38844,54858470,11.12.2014,0,52.85,037,011
205,32798,567480,29.10.2014,1,30.00,063,008
206,38496,5064,8.12.2014,0,21.50,037,009
207,32100,66510210,28.10.2014,0,126.00,014,033
208,31558,575506,23.10.2014,0,11.60,037,072
209,739,61965405,14.1.2015,0,95.45,037,033
210,35160,73541346,18.11.2014,0,83.60,014,031
211,1760,17645,20.1.2015,0,69.00,037,075
212,30410,576032,14.10.2014,0,65.00,037,015
213,36738,9006630,25.11.2014,0,52.50,063,011
214,30203,5346,9.10.2014,1,39.00,063,076
215,36904,567888,27.11.2014,1,30.00,063,008
216,29405,9000088,2.10.2014,0,21.40,037,005
217,37686,9000557,1.12.2014,0,125.85,037,017
218,30558,577523,10.10.2014,1,11.60,063,064
219,35148,73541346,18.11.2014,0,95.45,014,033
220,31949,32011237,27.10.2014,0,83.60,014,041
221,36388,500754,26.11.2014,0,69.00,014,028
222,36734,9006630,27.11.2014,0,64.60,063,008
223,39515,25716921,16.12.2014,0,52.50,037,015
224,33821,568541,6.11.2014,1,30.00,107,008
225,31205,9005467,21.10.2014,0,208.90,037,009
226,200,9003901,7.1.2015,0,125.85,037,017
227,38204,64300,4.12.2014,1,11.60,063,011
228,29905,6320,8.10.2014,0,100.00,037,005
229,37893,32185677,28.11.2014,0,95.45,037,033
230,31948,24675750,27.10.2014,0,83.35,014,041
231,36599,501205,26.11.2014,1,69.00,107,022
232,37677,73539210,3.12.2014,0,64.60,037,008
233,35623,9001403,20.11.2014,0,52.30,014,005
234,31106,585752,15.10.2014,1,30.00,063,076
235,29902,63959,8.10.2014,0,23.00,037,075
236,39573,9002673,16.12.2014,0,206.30,037,033
237,37185,9004149,29.11.2014,0,125.85,037,017
238,30435,590393,8.10.2014,1,11.60,063,067
239,36933,44560206,27.11.2014,0,10.40,037,038
240,40112,6402,17.12.2014,0,97.15,037,017
241,736,9002673,12.1.2015,0,93.80,037,033
242,37945,86280350,5.12.2014,0,83.00,037,072
243,32834,501239,4.11.2014,0,69.00,037,022
244,29820,9000088,7.10.2014,0,64.00,037,005
245,36654,19857829,26.11.2014,1,52.30,063,015
246,33972,586530,10.11.2014,1,30.00,063,008
247,31626,9001791,24.10.2014,0,203.00,037,009
248,30340,61510971,6.10.2014,0,125.70,037,017
249,31559,592996,23.10.2014,0,11.60,037,072
250,33488,578671,4.11.2014,1,96.40,063,008
251,33179,29424445,6.11.2014,0,92.85,037,026
252,742,9005467,15.1.2015,0,82.45,037,033
253,33134,526809,3.11.2014,1,69.00,063,028
254,29980,9000088,8.10.2014,0,64.00,037,005
255,34418,16339,10.11.2014,1,52.00,063,011
256,37697,590566,2.12.2014,0,30.00,037,007
257,29610,9000088,6.10.2014,0,201.60,037,068
258,36818,6876,19.11.2014,0,127.20,037,067
259,38900,72242167,12.12.2014,0,124.20,037,021
260,31560,592997,23.10.2014,0,11.60,037,072
261,30351,9000088,13.10.2014,0,92.80,037,024
262,30938,9006630,16.10.2014,0,82.45,037,033
263,1470,526922,19.1.2015,0,69.00,037,028
264,36054,9000088,18.11.2014,0,64.00,014,009
265,37606,526285,1.12.2014,1,52.00,063,007
266,1454,599251,19.1.2015,0,30.00,037,026
267,30220,63977,13.10.2014,0,20.70,037,038
268,1082,17727332,13.1.2015,0,124.20,037,017
269,31561,592998,23.10.2014,0,11.60,037,072
270,39467,6876,19.11.2014,0,-127.20,037,067
271,37706,61385174,3.12.2014,0,92.00,037,024
272,30934,47328304,15.10.2014,0,82.45,037,033
273,36523,581202,25.11.2014,1,69.00,063,008
274,33495,9004149,7.11.2014,0,64.00,037,038
275,40465,552395,18.12.2014,0,52.00,037,022
276,30854,608283,11.10.2014,1,30.00,063,026
277,38699,595820,9.12.2014,1,20.60,063,064
278,39470,6876,19.11.2014,0,127.20,037,067
279,33304,85013625,8.11.2014,0,123.05,037,041
280,31562,592999,23.10.2014,0,11.60,037,072
281,40959,98512426,31.12.2014,0,-126.50,037,017
282,1712,510897,20.1.2015,0,92.00,037,009
283,30936,64526208,16.10.2014,0,82.45,037,033
284,33820,602822,6.11.2014,1,69.00,107,008
285,36230,9003107,11.11.2014,0,63.90,014,067
286,35555,574005,15.11.2014,1,52.00,107,008
287,41258,9005467,23.12.2014,0,290.50,037,033
288,1511,64503,12.1.2015,1,23.00,063,001
289,10,9002673,5.1.2015,0,126.90,037,021
290,36843,9003301,21.11.2014,0,122.00,037,009
291,31563,593000,23.10.2014,0,11.60,037,072
292,40939,546919,16.12.2014,1,-10.00,063,007
293,1836,49977725,21.1.2015,0,92.00,037,076
294,36043,32185677,20.11.2014,0,82.45,014,033
295,426,9000088,12.1.2015,0,69.00,037,005
296,31705,37546759,24.10.2014,0,62.85,014,041
297,33692,586370,3.11.2014,1,52.00,063,038
298,37194,69618941,21.11.2014,0,29.20,037,077
299,31124,10184,21.10.2014,1,26.00,063,031
300,37687,9000557,1.12.2014,0,126.65,037,017
301,40093,9000557,16.12.2014,0,121.70,037,017
302,1213,593179,15.1.2015,0,11.60,037,011
303,33185,56168080,6.11.2014,0,92.00,037,005
304,36047,32185677,20.11.2014,0,82.45,014,033
305,37843,9002673,4.12.2014,0,69.00,037,028
306,32925,21169012,4.11.2014,0,62.20,037,011
307,36205,586462,24.11.2014,1,52.00,063,011
308,31403,566641,17.10.2014,1,29.00,063,008
309,34146,10198,13.11.2014,0,23.00,037,028
310,39092,9000557,11.12.2014,0,126.65,037,017
311,40096,9000557,16.12.2014,0,121.70,037,017
312,1212,593200,15.1.2015,0,11.60,037,011
313,38500,87112485,26.11.2014,0,92.00,037,041
314,1778,29075815,16.1.2015,0,82.00,037,033
315,35704,9006143,18.11.2014,0,69.00,014,076
316,33237,64122,29.10.2014,1,62.20,108,031
317,30121,10212,7.10.2014,0,6.30,037,021
318,30078,9001888,9.10.2014,0,52.00,037,005
319,38755,571773,9.12.2014,1,29.00,063,008
320,37680,9003860,1.12.2014,0,126.65,037,017
321,31767,9005467,23.10.2014,0,121.20,014,033
322,29808,600834,7.10.2014,0,11.60,037,024
323,160,98513000,7.1.2015,0,92.00,037,027
324,30383,56511205,13.10.2014,0,82.00,037,017
325,31427,9604169,22.10.2014,0,69.00,037,075
326,37721,501224,3.12.2014,0,62.00,037,001
327,29397,9001962,2.10.2014,0,51.60,037,005
328,33485,571968,4.11.2014,1,29.00,063,008
329,29918,10221,8.10.2014,0,23.00,037,001
330,37682,9003860,2.12.2014,0,126.65,037,017
331,32639,9006143,30.10.2014,0,121.20,037,005
332,37569,602395,2.12.2014,1,11.60,107,011
333,159,62693,7.1.2015,0,92.00,037,027
334,793,28542746,15.1.2015,0,81.70,037,033
335,112,72171626,7.1.2015,0,69.00,037,005
336,36393,523544,24.11.2014,1,62.00,063,007
337,34763,562684,11.11.2014,1,51.00,107,008
338,35525,574375,14.11.2014,1,29.00,107,076
339,34550,10224,12.11.2014,2,23.00,107,009
340,37684,9003902,2.12.2014,0,126.65,037,017
341,38761,9001528,11.12.2014,0,120.60,037,009
342,31046,617882,20.10.2014,0,11.60,037,005
343,31709,9005467,24.10.2014,0,91.45,014,033
344,36276,30719437,24.11.2014,0,81.20,014,021
345,35352,43638333,19.11.2014,0,69.00,014,031
346,40843,52938697,29.12.2014,0,62.00,037,076
347,36514,574999,25.11.2014,1,51.00,063,076
348,32806,10228,29.10.2014,1,37.00,063,042
349,30567,578575,10.10.2014,1,29.00,063,038
350,39081,9003902,4.12.2014,0,126.65,037,017
351,37951,29865174,5.12.2014,0,120.60,037,009
352,30067,9000088,9.10.2014,0,11.60,037,024
353,31710,9005467,23.10.2014,0,91.45,014,033
354,30064,9001064,9.10.2014,0,81.00,037,067
355,828,67254101,14.1.2015,0,69.00,037,022
356,30888,80838758,15.10.2014,0,62.00,037,033
357,29763,80838758,7.10.2014,0,50.60,037,021
358,30175,582751,9.10.2014,1,29.00,063,011
359,138,10237,7.1.2015,0,23.00,037,075
360,39083,9003902,4.12.2014,0,126.65,037,017
361,36055,9000088,19.11.2014,0,120.00,014,009
362,29812,9006621,7.10.2014,0,11.60,037,027
363,31711,9005467,24.10.2014,0,91.45,014,033
364,30065,9001066,9.10.2014,0,81.00,037,067
365,34997,94942455,17.11.2014,0,69.00,014,031
366,37216,9003929,26.11.2014,0,61.40,037,017
367,39590,10246,16.12.2014,0,6.30,037,028
368,34771,17982,12.11.2014,2,50.40,063,007
369,34004,586375,7.11.2014,1,29.00,063,011
370,39084,9003902,4.12.2014,0,126.65,037,017
371,36056,9000088,19.11.2014,0,120.00,014,009
372,29814,9006621,7.10.2014,0,11.60,037,027
373,31712,9005467,24.10.2014,0,91.45,014,033
374,30137,9003860,10.10.2014,0,81.00,037,067
375,33369,54737125,8.11.2014,0,69.00,037,076
376,36927,590237,28.11.2014,0,61.20,037,022
377,30428,510716,6.10.2014,1,50.40,063,067
378,34788,589046,11.11.2014,1,29.00,063,011
379,35747,10252,20.11.2014,2,23.00,063,007
380,37685,44041209,2.12.2014,0,126.65,037,017
381,36057,9000088,19.11.2014,0,120.00,014,009
382,30624,39523233,15.10.2014,0,11.60,037,027
383,31713,9005467,23.10.2014,0,91.45,014,033
384,729,9001526,14.1.2015,0,80.80,037,033
385,37732,86956728,3.12.2014,0,69.00,037,041
386,41071,10252,1.12.2014,0,6.30,037,007
387,34553,560816,12.11.2014,1,50.40,107,009
388,30528,594780,10.10.2014,1,29.00,063,011
389,37679,12974226,2.12.2014,0,126.65,037,017
390,30349,9004149,10.10.2014,0,120.00,037,005
391,31225,20212356,20.10.2014,0,11.60,037,007
392,40849,68412886,23.12.2014,0,91.45,037,017
393,794,55517951,15.1.2015,0,80.80,037,033
394,38916,97931578,12.12.2014,0,69.00,037,041
395,36232,9003301,20.11.2014,0,50.40,014,067
396,38962,594818,10.12.2014,1,29.00,107,076
397,1701,10256,20.1.2015,0,23.00,037,013
398,35403,63146584,18.11.2014,0,120.00,014,033
399,38348,63730,8.12.2014,1,11.60,107,075
400,36228,9003107,11.11.2014,0,91.00,014,067
401,792,60435895,15.1.2015,0,80.80,037,033
402,29376,9000088,2.10.2014,0,684.00,037,066
403,39710,9003992,17.12.2014,0,50.40,037,068
404,38235,599607,8.12.2014,1,29.00,063,011
405,29914,10276,8.10.2014,0,23.00,037,001
406,38914,34622799,12.12.2014,0,120.00,037,033
407,29948,63957,8.10.2014,0,11.60,037,067
408,30063,9003860,9.10.2014,0,90.00,037,067
409,30,10299,5.1.2015,0,9.00,037,072
410,30223,16115937,13.10.2014,0,8.29,037,038
411,30762,19534949,15.10.2014,0,50.40,037,005
412,37758,602923,3.12.2014,1,29.00,063,015
413,40877,597074,29.12.2014,0,12.60,037,031
414,30322,63989,13.10.2014,0,11.60,037,041
415,37882,98512631,4.12.2014,0,9.80,037,005
416,776,64489,5.1.2015,1,50.40,063,008
417,29961,9005467,8.10.2014,0,29.00,037,024
418,39348,64274,15.12.2014,1,12.60,107,007
419,31350,64021,15.10.2014,1,11.60,063,007
420,433,10299,13.1.2015,0,-9.00,037,072
421,434,10299,5.1.2015,0,9.00,037,072
422,38497,62698,9.12.2014,0,50.40,037,009
423,29962,9005467,8.10.2014,0,29.00,037,024
424,32246,9004149,24.10.2014,0,119.70,037,076
425,31365,76958167,22.10.2014,0,11.60,037,041
426,31176,62318,21.10.2014,0,-9.00,037,038
427,37463,63428,2.12.2014,0,50.40,037,008
428,29964,9005467,8.10.2014,0,29.00,037,024
429,39198,10300,12.12.2014,1,20.00,107,028
430,30806,40806049,16.10.2014,0,119.10,037,027
431,31777,64060,22.10.2014,1,11.60,063,038
432,41075,93810636,31.12.2014,0,-78.45,037,075
433,31942,64067,21.10.2014,1,50.40,063,066
434,29966,9005467,8.10.2014,0,29.00,037,024
435,29912,10303,7.10.2014,0,23.00,037,001
436,35035,9004149,14.11.2014,0,116.55,014,038
437,32064,17592,27.10.2014,0,11.50,014,007
438,31301,64018,22.10.2014,0,-75.60,037,077
439,32968,29075815,5.11.2014,0,50.00,037,077
440,29970,9005467,8.10.2014,0,29.00,037,024
441,275,10307,8.1.2015,0,23.00,037,009
442,30673,9003406,9.10.2014,0,116.00,037,024
443,29662,514014,2.10.2014,1,11.50,063,007
444,29834,566926,8.10.2014,0,-75.00,037,072
445,37678,29075815,3.12.2014,0,50.00,037,077
446,29971,9005467,8.10.2014,0,29.00,037,024
447,1176,10311,8.1.2015,1,23.00,063,009
448,40569,97670111,22.12.2014,0,116.00,037,017
449,30969,514826,17.10.2014,0,11.50,037,007
450,41028,9000088,31.12.2014,0,-714.85,037,038
451,41079,12309,31.12.2014,0,5.97,037,007
452,37035,62328,28.11.2014,1,29.00,107,076
453,276,10316,8.1.2015,0,23.00,037,009
454,363,68671083,12.1.2015,0,115.80,037,009
455,30970,514827,17.10.2014,0,11.50,037,007
456,40870,9004777,30.12.2014,0,-70.00,037,017
457,41080,12309,31.12.2014,0,5.97,037,007
458,36370,9000088,26.11.2014,0,284.50,014,009
459,37792,10318,3.12.2014,2,23.00,063,007
460,29400,504651,2.10.2014,0,115.00,037,075
461,32063,559393,27.10.2014,0,11.50,014,007
462,30218,9506702,13.10.2014,0,-63.80,037,038
463,33954,552111,5.11.2014,1,5.80,107,005
464,30928,70418136,13.10.2014,0,281.90,037,033
465,35631,10327,20.11.2014,0,23.00,014,042
466,36420,35744022,25.11.2014,0,115.00,014,038
467,39564,580735,16.12.2014,0,11.50,037,072
468,32472,10329,20.10.2014,0,6.30,037,075
469,29952,98512937,8.10.2014,0,5.80,037,024
470,1548,525941,16.1.2015,2,28.00,063,007
471,32983,40854167,5.11.2014,0,115.00,037,064
472,39565,618137,16.12.2014,0,11.50,037,072
473,39352,61696,15.12.2014,0,5.80,037,005
474,31004,588364,16.10.2014,1,28.00,063,042
475,36720,10332,27.11.2014,0,23.00,063,042
476,36858,9002673,20.11.2014,0,114.85,037,033
477,35902,544225,20.11.2014,1,11.00,063,009
478,33433,63278,3.11.2014,1,5.80,063,009
479,36935,10337,28.11.2014,1,37.00,107,072
480,38462,600857,9.12.2014,0,28.00,037,007
481,41261,9005467,23.12.2014,0,114.85,037,033
482,572,546961,6.1.2015,1,11.00,063,007
483,29597,19903588,3.10.2014,0,49.80,037,005
484,37128,9000088,19.11.2014,0,28.00,037,005
485,34328,10338,11.11.2014,1,23.00,063,027
486,33789,9006630,10.11.2014,0,114.85,037,033
487,31585,553661,23.10.2014,0,11.00,037,075
488,38657,10341,21.11.2014,0,6.30,037,042
489,35490,509468,14.11.2014,2,49.60,107,001
490,38319,9000088,5.12.2014,0,28.00,037,005
491,30930,32409052,14.10.2014,0,114.85,037,033
492,32235,553664,23.10.2014,1,11.00,063,075
493,36895,566316,28.11.2014,1,49.60,107,075
494,30627,79338119,15.10.2014,0,276.20,037,009
495,35988,10342,21.11.2014,1,23.00,063,042
496,30931,47328304,14.10.2014,0,114.85,037,033
497,37636,557631,27.11.2014,1,11.00,063,022
498,38892,10346,4.12.2014,0,6.30,037,001
499,29821,12697982,6.10.2014,0,48.90,037,021
500,36626,67013457,18.11.2014,0,271.60,014,076
501,30939,77833279,17.10.2014,0,114.85,037,033
502,39714,567422,16.12.2014,1,11.00,063,008
503,241,567448,8.1.2015,0,48.60,037,076
504,29377,9000088,2.10.2014,0,271.50,037,066
505,40699,10346,23.12.2014,0,23.00,037,001
506,737,25588303,14.1.2015,0,114.85,037,033
507,31163,581973,15.10.2014,1,11.00,063,008
508,35874,586295,20.11.2014,1,48.60,063,064
509,30763,32121652,15.10.2014,0,27.80,037,005
510,37888,32185677,28.11.2014,0,114.85,037,033
511,31238,22652787,20.10.2014,0,11.00,037,075
512,40832,10346,29.12.2014,0,-6.30,037,001
513,1209,34740236,16.1.2015,0,48.20,037,008
514,30161,594764,3.10.2014,1,27.60,063,011
515,38052,10349,4.12.2014,1,23.00,063,001
516,37889,32185677,28.11.2014,0,114.85,037,033
517,35188,9005467,18.11.2014,0,109.60,014,041
518,34053,12076,13.11.2014,0,-6.30,037,013
519,31411,518874,21.10.2014,0,48.00,037,028
520,36735,10352,27.11.2014,0,36.00,063,075
521,29611,9000088,3.10.2014,0,27.60,037,005
522,37891,32185677,3.12.2014,0,114.85,037,033
523,31634,38865084,24.10.2014,0,109.60,037,009
524,34055,12076,13.11.2014,0,-6.30,037,013
525,37928,567178,5.12.2014,0,48.00,037,008
526,1339,16399,8.1.2015,1,36.00,063,011
527,33588,64137,7.11.2014,0,27.00,037,011
528,38054,10372,4.12.2014,1,23.00,063,001
529,37134,32394047,27.11.2014,0,114.50,037,011
530,38502,84264381,9.12.2014,0,109.60,037,041
531,34058,12076,13.11.2014,0,-6.30,037,013
532,29904,10374,7.10.2014,0,8.00,037,038
533,1601,568169,17.1.2015,1,48.00,063,076
534,29867,501358,7.10.2014,1,36.00,063,038
535,39601,32121652,17.12.2014,0,266.40,037,077
536,172,16505638,7.1.2015,0,108.30,037,011
537,40818,15034,29.12.2014,0,-6.30,037,013
538,40993,11930,23.12.2014,1,8.00,063,008
539,413,590395,9.1.2015,0,48.00,037,007
540,37788,508423,3.12.2014,1,36.00,063,009
541,29573,9004149,6.10.2014,0,266.15,037,028
542,40038,10374,18.12.2014,0,25.20,037,064
543,36883,98617303,27.11.2014,0,108.30,037,022
544,30991,15285,20.10.2014,0,-6.30,037,005
545,32093,17698,28.10.2014,0,8.00,014,005
